imageID,Keywords,brightness_median,brightness_stdev,saturation_median,saturation_stdev,hue_median,hue_stdev,Count,Total Area,Average Size,%Area
183,G_Lyrics_complementarytrack,96,48.9603,255,18.0532,20,33.1264,5,107255,21451,62.069
184,G_Lyrics_complementarytrack,109,52.1361,255,17.287,20,23.4586,3,99951,33317,57.842
185,G_Lyrics_complementarytrack,119,52.4637,255,18.4197,20,25.2887,10,47751,4775.1,27.634
186,G_Lyrics_complementarytrack,127,51.3128,255,17.111,20,26.478,13,75403,5800.231,43.636
187,G_Lyrics_complementarytrack,142,56.4932,252,18.1766,21,28.454,11,87149,7922.636,50.433
188,G_Lyrics_complementarytrack,105,48.7888,253,18.7061,20,25.1755,11,93221,8474.636,53.947
189,G_Lyrics_complementarytrack,92,50.1653,255,21.6554,19,27.9434,7,107177,15311,62.024
190,G_Lyrics_complementarytrack,88,34.1512,255,18.8654,19,27.0989,3,128052,42684,74.104
191,G_Lyrics_complementarytrack,52,43.2678,246,91.8137,21,37.4008,23,41126,1788.087,23.8
192,B_Instrumental_main-track,30,29,255,32.9089,13,52.9691,10,65501,6550.1,37.906
193,G_Lyrics_complementarytrack,91,49.4096,255,22.2503,19,27.1438,5,124803,24960.6,72.224
194,G_Lyrics_complementarytrack,52,42.2309,251,66.0621,21,34.6132,8,45845,5730.625,26.531
195,G_Lyrics_complementarytrack,88,37.6357,255,20.8032,19,26.5163,3,133481,44493.667,77.246
196,G_Lyrics_complementarytrack,40,33.226,255,69.3199,21,37.063,20,75345,3767.25,43.602
197,G_Lyrics_complementarytrack,85,41.8494,255,16.7793,18,24.2292,4,118023,29505.75,68.3
198,B_Instrumental_main-track,7,108.6848,102,101.961,70,28.479,1,54339,54339,31.446
199,B_Instrumental_main-track,132,112.279,5,93.336,85,38.6058,1,172800,172800,100
200,B_Instrumental_main-track,111,112.607,14,104.321,93,46.7241,1,172800,172800,100
201,B_Instrumental_main-track,10,91.7266,182,97.5375,93,59.4051,23,31068,1350.783,17.979
202,G_Lyrics_complementarytrack,70,31.2482,255,17.3949,18,26.0252,13,127993,9845.615,74.07
203,G_Lyrics_complementarytrack,90,41.4495,255,17.3712,18,23.9673,9,137051,15227.889,79.312
204,G_Lyrics_complementarytrack,63,43.6639,255,18.3503,18,29.59,20,34089,1704.45,19.727
205,G_Lyrics_complementarytrack,135,58.142,255,22.3463,18,24.6537,11,116970,10633.636,67.691
206,B_Instrumental_main-track,49,57.3824,68,75.1746,77,67.5036,70,30989,442.7,17.933
207,B_Instrumental_main-track,25,62.3564,85,81.6375,106,49.919,63,41402,657.175,23.959
208,B_Instrumental_main-track,70,68.5629,185,88.5249,113,86.01,65,31635,486.692,18.307
209,G_Lyrics_complementarytrack,45,48.1034,251,98.7747,20,29.8518,14,21539,1538.5,12.465
210,G_Lyrics_complementarytrack,53,41.8675,255,74.2288,22,27.65,16,84380,5273.75,48.831
211,B_Instrumental_main-track,89,50.1468,255,20.259,16,49.3548,29,87458,3015.793,50.612
212,R_Video_footage_overlaps,91,55.4964,253,54.7235,19,27.9871,12,52381,4365.083,30.313
213,B_Instrumental_main-track,54,85.6837,78,83.8235,112,52.0217,63,44024,698.794,25.477
214,B_Instrumental_main-track,45,69.9329,160,81.2292,103,79.0836,31,33752,1088.774,19.532
215,B_Instrumental_main-track,21,52.7357,217,49.3348,20,78.6996,19,53308,2805.684,30.85
216,B_Instrumental_main-track,14,59.0296,170,75.1091,99,66.6088,24,13335,555.625,7.717
217,B_Instrumental_main-track,46,85.1348,72,88.1021,106,61.6188,39,50833,1303.41,29.417
218,R_Video_footage_overlaps,70,44.8278,255,64.3117,19,41.4337,18,120583,6699.056,69.782
219,G_Lyrics_complementarytrack,81,46.6116,255,16.9157,19,25.9196,12,34740,2895,20.104
220,G_Lyrics_complementarytrack,85,46.9907,255,21.858,18,32.5372,3,92177,30725.667,53.343
221,R_Video_footage_overlaps,67,39.2569,255,54.5413,18,38.4562,7,129850,18550,75.145
222,B_Instrumental_main-track,10,61.0961,205,71.0292,111,57.8738,14,16075,1148.214,9.303
223,B_Instrumental_main-track,5,47.8422,159,70.3353,93,31.8305,9,11746,1305.111,6.797
224,B_Instrumental_main-track,8,99.7437,109,96.5489,85,38.7864,8,61072,7634,35.343
225,G_Lyrics_complementarytrack,105,54.6642,255,20.521,18,41.9824,6,115528,19254.667,66.856
226,G_Lyrics_complementarytrack,154,67.6214,253,20.2866,20,26.3513,12,79593,6632.75,46.061
